timestamp,OF,FT
2024-01-01 00:00:00,62442.08594,23648.9043
2024-01-01 00:10:00,62442.08594,23648.9043
2024-01-01 00:20:00,62809.55859,25102.33398
2024-01-01 00:30:00,63469.76172,25405.22461
2024-01-01 00:40:00,63076.48047,26875.33594
2024-01-01 00:50:00,63378.90625,27995.53711
2024-01-01 01:00:00,62802.375,27353.0332
2024-01-01 01:10:00,63053.28516,26094.96875
2024-01-01 01:20:00,63673.70703,26860.26563
2024-01-01 01:30:00,63838.73438,26236.5
2024-01-01 01:40:00,64416.92188,26235.21094
2024-01-01 01:50:00,64359.15234,27408.85156
2024-01-01 02:00:00,63136.58594,27706.36719
2024-01-01 02:10:00,63754.1875,27146.46289
2024-01-01 02:20:00,64888.57813,26294.49609
2024-01-01 02:30:00,64182.22656,26333.19922
2024-01-01 02:40:00,63916.12109,27134.23242
2024-01-01 02:50:00,64242.09375,27823.09766
2024-01-01 03:00:00,63224.83203,27139.63086
2024-01-01 03:10:00,62982.01172,26858.74219
2024-01-01 03:20:00,64142.35938,27600.47266
2024-01-01 03:30:00,63218.85938,27927.98438
2024-01-01 03:40:00,63253.30859,27543.76563
2024-01-01 03:50:00,62764.32813,25133.13672
2024-01-01 04:00:00,61487.06641,25647.88672
2024-01-01 04:10:00,59371.45313,27457.78711
2024-01-01 04:20:00,59331.35156,27158.02539
2024-01-01 04:30:00,59569.23438,26082.91211
2024-01-01 04:40:00,59521.55469,27121.46484
2024-01-01 04:50:00,59696.89844,27808.70117
2024-01-01 05:00:00,59299.71484,26760.25195
2024-01-01 05:10:00,58928.82031,28155.20313
2024-01-01 05:20:00,58039.94141,27832.63672
2024-01-01 05:30:00,56753.03906,26122.56055
2024-01-01 05:40:00,57343.48047,27003.09961
2024-01-01 05:50:00,57045.32031,26997.9043
2024-01-01 06:00:00,57210.67188,26166.65625
2024-01-01 06:10:00,57500.56641,25699.4707
2024-01-01 06:20:00,59520.35938,25030.50586
2024-01-01 06:30:00,60314.37891,24580.85547
2024-01-01 06:40:00,60962.57422,24751.94141
2024-01-01 06:50:00,60053.10547,25518.77344
2024-01-01 07:00:00,58168.375,24482.83984
2024-01-01 07:10:00,57166.02734,24166.43555
2024-01-01 07:20:00,56807.23828,23142.61328
2024-01-01 07:30:00,56573.43359,23035.14648
2024-01-01 07:40:00,55839.33594,23164.60547
2024-01-01 07:50:00,55605.25391,22694.37305
2024-01-01 08:00:00,55990.48828,22841.04102
2024-01-01 08:10:00,57912.43359,23241.4668
2024-01-01 08:20:00,57823.53516,25219.9082
2024-01-01 08:30:00,58660.89453,25911.94922
2024-01-01 08:40:00,58541.08594,26686.79883
2024-01-01 08:50:00,59750.52734,26588.44531
2024-01-01 09:00:00,58993.66797,26700.34766
2024-01-01 09:10:00,56036.01172,27398.4375
2024-01-01 09:20:00,57237.37891,28865.27734
2024-01-01 09:30:00,57798.45313,27546.61914
2024-01-01 09:40:00,58324.59375,28081.66602
2024-01-01 09:50:00,56823.93359,26939.06641
2024-01-01 10:00:00,55973.53516,26973.4375
2024-01-01 10:10:00,55684.73828,25969.63477
